country,alcohol,chd,fat,cirrhosis,cigarette,beer,vegetable,fruit,alcohol80
Australia,2.5,211,23.700001,20,2.71,5.5,2.8,3.9000001,2.2
Austria,3.9000001,167,27.1,46,2.21,5.9000001,1.4,4.6999998,4.0999999
Belgium,2.9000001,131,35,19,2.0799999,4.4000001,2.2,3,2.5
Canada,2.4000001,191,22.5,15,2.54,4.1999998,1.6,3.5999999,2.2
Denm,2.9000001,220,36.400002,18,1.92,5.0999999,1.7,2.5999999,2.3
Finland,.80000001,297,29.200001,16,1.74,2.9000001,1.1,3.4000001,.89999998
France,9.1000004,71,25.700001,40,2.1199999,1.6,2.4000001,2.5999999,10.8
Iceland,.80000001,211,26.799999,2,2.8599999,.30000001,.80000001,2.4000001,.80000001
Ireland,.69999999,300,27.299999,13,2.4200001,4.6999998,1.5,2.0999999,.5
Israel,.60000002,178,11.8,7,2.29,.60000002,1.3,3.5,.80000001
Italy,7.9000001,107,18.200001,39,1.92,1.3,2.7,4.3000002,7.4000001
Japan,1.5,37,11.9,23,3.24,2.2,1.6,4.5,1.5
Netherld,1.8,167,27.799999,8,2.8199999,4.1999998,1.6,3.5999999,1.6
N.Zealnd,1.9,266,29.700001,3,2.51,6.0999999,1.9,2.4000001,1.7
Norway,.80000001,227,23.799999,4,1.83,2.3,1.1,3.5,.60000002
Spain,6.5,86,21.1,39,2.6700001,2.7,2.8,3.9000001,7.1999998
Swed,1.6,207,26.200001,6,1.55,2,1.3,3.5,1.3
Switz,5.8000002,115,29.1,13,2.9100001,3.3,1.6,4.5,5.6999998
UK,1.3,285,27,3,2.21,5.5,1.9,2.4000001,1
USA,1.2,199,22.799999,7,2.6700001,3.5999999,1.1,3.5,1.1
W.Ger,2.7,172,27.5,38,2.3599999,5.8000002,1.7,4.3000002,2.0999999
